WARNING:tensorflow:From cnn.py:108: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See @{tf.nn.softmax_cross_entropy_with_logits_v2}.

L2_norm: 0.1, Dropout: 0.5
epoch: 0, trainloss: 66.4025650024414, validloss: 66.38428497314453, testloss: 66.40203857421875, trainacc: 0.8551333546638489, validacc: 0.8659999966621399, testacc: 0.853157103061676
epoch: 12, trainloss: 15.158882141113281, validloss: 15.222968101501465, testloss: 15.223139762878418, trainacc: 0.9448000192642212, validacc: 0.9269999861717224, testacc: 0.9207048416137695
epoch: 13, trainloss: 13.279165267944336, validloss: 13.345845222473145, testloss: 13.345891952514648, trainacc: 0.9458666443824768, validacc: 0.9190000295639038, testacc: 0.919236421585083
epoch: 14, trainloss: 11.63805866241455, validloss: 11.706390380859375, testloss: 11.705492973327637, trainacc: 0.9470666646957397, validacc: 0.9229999780654907, testacc: 0.9210719466209412
epoch: 15, trainloss: 10.212871551513672, validloss: 10.285232543945312, testloss: 10.281697273254395, trainacc: 0.9475333094596863, validacc: 0.921999990940094, testacc: 0.9225403666496277
epoch: 16, trainloss: 8.979706764221191, validloss: 9.049511909484863, testloss: 9.049787521362305, trainacc: 0.9498000144958496, validacc: 0.925000011920929, testacc: 0.9207048416137695
epoch: 17, trainloss: 7.915320873260498, validloss: 7.987441539764404, testloss: 7.985782146453857, trainacc: 0.9503333568572998, validacc: 0.921999990940094, testacc: 0.919236421585083
epoch: 18, trainloss: 6.9983110427856445, validloss: 7.06969690322876, testloss: 7.06657075881958, trainacc: 0.9511333107948303, validacc: 0.9269999861717224, testacc: 0.9247429966926575
epoch: 19, trainloss: 6.21221399307251, validloss: 6.286081790924072, testloss: 6.282962799072266, trainacc: 0.951200008392334, validacc: 0.925000011920929, testacc: 0.9225403666496277
epoch: 20, trainloss: 5.539002895355225, validloss: 5.613325119018555, testloss: 5.610588550567627, trainacc: 0.9524000287055969, validacc: 0.9229999780654907, testacc: 0.923274576663971
epoch: 21, trainloss: 4.966799736022949, validloss: 5.0437235832214355, testloss: 5.03651762008667, trainacc: 0.9511333107948303, validacc: 0.9200000166893005, testacc: 0.923274576663971
epoch: 22, trainloss: 4.476070880889893, validloss: 4.550486087799072, testloss: 4.546786308288574, trainacc: 0.951533317565918, validacc: 0.921999990940094, testacc: 0.9243758916854858
epoch: 23, trainloss: 4.0584492683410645, validloss: 4.134737491607666, testloss: 4.130087375640869, trainacc: 0.9530666470527649, validacc: 0.9269999861717224, testacc: 0.9254772663116455
epoch: 24, trainloss: 3.7051682472229004, validloss: 3.7790298461914062, testloss: 3.7776403427124023, trainacc: 0.9511333107948303, validacc: 0.9290000200271606, testacc: 0.9236416816711426
epoch: 25, trainloss: 3.4025158882141113, validloss: 3.4747066497802734, testloss: 3.4734859466552734, trainacc: 0.9531999826431274, validacc: 0.9240000247955322, testacc: 0.9236416816711426
epoch: 26, trainloss: 3.1473073959350586, validloss: 3.2193989753723145, testloss: 3.2157535552978516, trainacc: 0.9521999955177307, validacc: 0.9279999732971191, testacc: 0.9247429966926575
epoch: 27, trainloss: 2.929166078567505, validloss: 3.0004160404205322, testloss: 2.998472213745117, trainacc: 0.95333331823349, validacc: 0.925000011920929, testacc: 0.923274576663971
epoch: 28, trainloss: 2.743393898010254, validloss: 2.8123812675476074, testloss: 2.813278913497925, trainacc: 0.9530666470527649, validacc: 0.9259999990463257, testacc: 0.923274576663971
epoch: 29, trainloss: 2.584449529647827, validloss: 2.6534831523895264, testloss: 2.6528468132019043, trainacc: 0.9530666470527649, validacc: 0.921999990940094, testacc: 0.9273127913475037
epoch: 30, trainloss: 2.447999954223633, validloss: 2.517493724822998, testloss: 2.517448663711548, trainacc: 0.9520666599273682, validacc: 0.925000011920929, testacc: 0.9236416816711426
epoch: 31, trainloss: 2.3311145305633545, validloss: 2.3989057540893555, testloss: 2.3999249935150146, trainacc: 0.9526000022888184, validacc: 0.9309999942779541, testacc: 0.9240087866783142
epoch: 32, trainloss: 2.2303717136383057, validloss: 2.297619581222534, testloss: 2.298278331756592, trainacc: 0.9521999955177307, validacc: 0.9290000200271606, testacc: 0.923274576663971
epoch: 33, trainloss: 2.1420884132385254, validloss: 2.20967698097229, testloss: 2.208451986312866, trainacc: 0.9517999887466431, validacc: 0.9210000038146973, testacc: 0.9240087866783142
epoch: 34, trainloss: 2.065248727798462, validloss: 2.132431745529175, testloss: 2.1313302516937256, trainacc: 0.951200008392334, validacc: 0.9240000247955322, testacc: 0.9243758916854858
epoch: 35, trainloss: 1.9987215995788574, validloss: 2.0620758533477783, testloss: 2.0632131099700928, trainacc: 0.9501333236694336, validacc: 0.925000011920929, testacc: 0.9229074716567993
epoch: 36, trainloss: 1.9390428066253662, validloss: 2.0022401809692383, testloss: 2.0021841526031494, trainacc: 0.9490000009536743, validacc: 0.9229999780654907, testacc: 0.9247429966926575
epoch: 37, trainloss: 1.886198878288269, validloss: 1.9506127834320068, testloss: 1.9513218402862549, trainacc: 0.949999988079071, validacc: 0.9259999990463257, testacc: 0.9247429966926575
epoch: 38, trainloss: 1.8383991718292236, validloss: 1.9006116390228271, testloss: 1.9014618396759033, trainacc: 0.949400007724762, validacc: 0.9200000166893005, testacc: 0.9236416816711426
epoch: 39, trainloss: 1.7961881160736084, validloss: 1.8592860698699951, testloss: 1.8574609756469727, trainacc: 0.9498666524887085, validacc: 0.9229999780654907, testacc: 0.923274576663971
epoch: 40, trainloss: 1.7582110166549683, validloss: 1.8192179203033447, testloss: 1.8178761005401611, trainacc: 0.9494666457176208, validacc: 0.925000011920929, testacc: 0.9229074716567993
epoch: 41, trainloss: 1.7243317365646362, validloss: 1.7867321968078613, testloss: 1.78224778175354, trainacc: 0.9494666457176208, validacc: 0.9240000247955322, testacc: 0.9243758916854858
epoch: 42, trainloss: 1.6919887065887451, validloss: 1.753097653388977, testloss: 1.7527492046356201, trainacc: 0.9476666450500488, validacc: 0.921999990940094, testacc: 0.9229074716567993
epoch: 43, trainloss: 1.6632381677627563, validloss: 1.7229948043823242, testloss: 1.7223199605941772, trainacc: 0.9479333162307739, validacc: 0.9210000038146973, testacc: 0.923274576663971
epoch: 44, trainloss: 1.6358927488327026, validloss: 1.6957547664642334, testloss: 1.6947699785232544, trainacc: 0.9467999935150146, validacc: 0.9269999861717224, testacc: 0.9236416816711426
epoch: 45, trainloss: 1.6117172241210938, validloss: 1.6700910329818726, testloss: 1.6687602996826172, trainacc: 0.9484000205993652, validacc: 0.9200000166893005, testacc: 0.9251101613044739
epoch: 46, trainloss: 1.5874347686767578, validloss: 1.645556092262268, testloss: 1.6440190076828003, trainacc: 0.9479333162307739, validacc: 0.9229999780654907, testacc: 0.9240087866783142
epoch: 47, trainloss: 1.5658632516860962, validloss: 1.6231052875518799, testloss: 1.6236810684204102, trainacc: 0.9449333548545837, validacc: 0.9229999780654907, testacc: 0.9214390516281128
epoch: 48, trainloss: 1.5449833869934082, validloss: 1.5996482372283936, testloss: 1.6015565395355225, trainacc: 0.9477333426475525, validacc: 0.9190000295639038, testacc: 0.9240087866783142
epoch: 49, trainloss: 1.525546669960022, validloss: 1.5804903507232666, testloss: 1.5811238288879395, trainacc: 0.9455999732017517, validacc: 0.9259999990463257, testacc: 0.9218061566352844
